PRIMARY_ID,BioSample,BioProject,SRA_ID
SRX14137770,SAMN03255769,PRJNA559484,SRA1369843
SRX14137769,SAMN03255769,PRJNA559484,SRA1369843
SRX14137768,SAMN03255769,PRJNA559484,SRA1369843
SRX14137767,SAMN03255769,PRJNA559484,SRA1369843
SRX14137766,SAMN03255769,PRJNA559484,SRA1369843
SRX14137765,SAMN03255769,PRJNA559484,SRA1369843
SRX11698069,SAMN03255769,PRJNA559484,SRA1273065
SRX11698068,SAMN03255769,PRJNA559484,SRA1273065
SRX11698067,SAMN03255769,PRJNA559484,SRA1273065
SRX11698066,SAMN03255769,PRJNA559484,SRA1273065
SRX11698065,SAMN03255769,PRJNA559484,SRA1273065
SRX11698064,SAMN03255769,PRJNA559484,SRA1273065
SRX11698063,SAMN03255769,PRJNA559484,SRA1273065
SRX11364664,SAMN03255769,PRJNA559484,SRA1255332
SRX11364663,SAMN03255769,PRJNA559484,SRA1255332
SRX11346957,SAMN03255769,PRJNA559484,SRA1254311
SRX11346956,SAMN03255769,PRJNA559484,SRA1254311
SRX11346955,SAMN03255769,PRJNA559484,SRA1254311
SRX11346954,SAMN03255769,PRJNA559484,SRA1254311
SRX10377957,SAMN03255769,PRJNA559484,SRA1207903
SRX10377956,SAMN03255769,PRJNA559484,SRA1207903
SRX10230903,SAMN03255769,PRJNA559484,SRA1202554
SRX10230902,SAMN03255769,PRJNA559484,SRA1202554
SRX10230901,SAMN03255769,PRJNA559484,SRA1202554
SRX10230900,SAMN03255769,PRJNA559484,SRA1202554
SRX9708461,SAMN03255769,PRJNA559484,SRA1171944
SRX9708460,SAMN03255769,PRJNA559484,SRA1171944
SRX9708459,SAMN03255769,PRJNA559484,SRA1171944
SRX9708458,SAMN03255769,PRJNA559484,SRA1171944
SRX9101328,SAMN03255769,PRJNA559484,SRA1123283
SRX9101327,SAMN03255769,PRJNA559484,SRA1123283
SRX9101326,SAMN03255769,PRJNA559484,SRA1123283
SRX9101325,SAMN03255769,PRJNA559484,SRA1123283
SRX9101324,SAMN03255769,PRJNA559484,SRA1123283
SRX9101323,SAMN03255769,PRJNA559484,SRA1123283
SRX9101322,SAMN03255769,PRJNA559484,SRA1123283
SRX9101321,SAMN03255769,PRJNA559484,SRA1123283
SRX9101320,SAMN03255769,PRJNA559484,SRA1123283
SRX9101319,SAMN03255769,PRJNA559484,SRA1123283
SRX9101318,SAMN03255769,PRJNA559484,SRA1123283
SRX9101317,SAMN03255769,PRJNA559484,SRA1123283
SRX9101316,SAMN03255769,PRJNA559484,SRA1123283
SRX9101315,SAMN03255769,PRJNA559484,SRA1123283
SRX9101314,SAMN03255769,PRJNA559484,SRA1123283
SRX9101313,SAMN03255769,PRJNA559484,SRA1123283
SRX9101312,SAMN03255769,PRJNA559484,SRA1123283
SRX9101311,SAMN03255769,PRJNA559484,SRA1123283
SRX9101310,SAMN03255769,PRJNA559484,SRA1123283
SRX9101309,SAMN03255769,PRJNA559484,SRA1123283
SRX9101308,SAMN03255769,PRJNA559484,SRA1123283
SRX9101307,SAMN03255769,PRJNA559484,SRA1123283
SRX9101306,SAMN03255769,PRJNA559484,SRA1123283
SRX9101305,SAMN03255769,PRJNA559484,SRA1123283
SRX9101304,SAMN03255769,PRJNA559484,SRA1123283
SRX9101303,SAMN03255769,PRJNA559484,SRA1123283
SRX9101302,SAMN03255769,PRJNA559484,SRA1123283
SRX9101301,SAMN03255769,PRJNA559484,SRA1123283
SRX9101300,SAMN03255769,PRJNA559484,SRA1123283
SRX9101299,SAMN03255769,PRJNA559484,SRA1123283
SRX9101298,SAMN03255769,PRJNA559484,SRA1123283
SRX9101297,SAMN03255769,PRJNA559484,SRA1123283
SRX9101296,SAMN03255769,PRJNA559484,SRA1123283
SRX9101295,SAMN03255769,PRJNA559484,SRA1123283
SRX9101294,SAMN03255769,PRJNA559484,SRA1123283
SRX9101293,SAMN03255769,PRJNA559484,SRA1123283
SRX9101292,SAMN03255769,PRJNA559484,SRA1123283
SRX9101291,SAMN03255769,PRJNA559484,SRA1123283
SRX9101290,SAMN03255769,PRJNA559484,SRA1123283
SRX9101289,SAMN03255769,PRJNA559484,SRA1123283
SRX9101288,SAMN03255769,PRJNA559484,SRA1123283
SRX9101287,SAMN03255769,PRJNA559484,SRA1123283
SRX9101286,SAMN03255769,PRJNA559484,SRA1123283
SRX9101285,SAMN03255769,PRJNA559484,SRA1123283
SRX9101284,SAMN03255769,PRJNA559484,SRA1123283
SRX9101283,SAMN03255769,PRJNA559484,SRA1123283
SRX9101282,SAMN03255769,PRJNA559484,SRA1123283
