PRIMARY_ID,BioSample,BioProject,SRA_ID
SRX26348347,SAMN03283347,PRJNA200694,SRA1989932
SRX26348346,SAMN03283347,PRJNA200694,SRA1989932
SRX23904609,SAMN03283347,PRJNA731524,SRA1822549
SRX23904608,SAMN03283347,PRJNA731524,SRA1822549
SRX23904607,SAMN03283347,PRJNA731524,SRA1822549
SRX23904606,SAMN03283347,PRJNA731524,SRA1822549
SRX23904605,SAMN03283347,PRJNA731524,SRA1822549
SRX23904604,SAMN03283347,PRJNA731524,SRA1822549
SRX23904603,SAMN03283347,PRJNA731524,SRA1822549
SRX23904602,SAMN03283347,PRJNA731524,SRA1822549
SRX23904601,SAMN03283347,PRJNA731524,SRA1822549
SRX23904600,SAMN03283347,PRJNA731524,SRA1822549
SRX23904599,SAMN03283347,PRJNA731524,SRA1822549
SRX23904598,SAMN03283347,PRJNA731524,SRA1822549
SRX23904597,SAMN03283347,PRJNA731524,SRA1822549
SRX23904596,SAMN03283347,PRJNA731524,SRA1822549
SRX23904595,SAMN03283347,PRJNA731524,SRA1822549
SRX23331879,SAMN03283347,PRJNA1066887,SRA1788658
SRX22242218,SAMN03283347,PRJNA200694,SRA1740104
SRX22108663,SAMN03283347,PRJNA1028149,SRA1733057
SRX20457621,SAMN03283347,PRJNA200694,SRA1641567
SRX20457620,SAMN03283347,PRJNA200694,SRA1641567
SRX20440458,SAMN03283347,PRJNA200694,SRA1640925
SRX20440457,SAMN03283347,PRJNA200694,SRA1640925
SRX20248994,SAMN03283347,PRJNA731524,SRA1633793
SRX20248993,SAMN03283347,PRJNA731524,SRA1633793
SRX20248992,SAMN03283347,PRJNA731524,SRA1633793
SRX20248965,SAMN03283347,PRJNA731524,SRA1633781
SRX19356954,SAMN03283347,PRJNA930475,SRA1589672
SRX19312602,SAMN03255769,PRJNA932454,SRA1586760
SRX19306105,SAMN03255769,PRJNA932454,SRA1586756
SRX15404846,SAMN03283347,PRJNA527278,SRA1424076
SRX15092400,SAMN03283347,PRJNA832505,SRA1412945
SRX15092399,SAMN03283347,PRJNA832505,SRA1412945
SRX15092398,SAMN03283347,PRJNA832505,SRA1412945
SRX10073619,SAMN03283347,PRJNA731524,SRA1194583
SRX14498317,SAMN03283347,PRJNA731524,SRA1386480
SRX14498316,SAMN03283347,PRJNA731524,SRA1386480
SRX14498315,SAMN03283347,PRJNA731524,SRA1386480
SRX14498314,SAMN03283347,PRJNA731524,SRA1386480
SRX14498313,SAMN03283347,PRJNA731524,SRA1386480
SRX14498312,SAMN03283347,PRJNA731524,SRA1386480
SRX14498311,SAMN03283347,PRJNA731524,SRA1386480
SRX14498310,SAMN03283347,PRJNA731524,SRA1386480
SRX14498309,SAMN03283347,PRJNA731524,SRA1386480
SRX14498308,SAMN03283347,PRJNA731524,SRA1386480
