UID	ACCESSION	VERSION	ORGANISM	SEQ_LEN	CREATE_DATE	AUTHORS	TITLE	REFERENCE	NOTE	TAXONOMY
13273088	AF347001	1	Homo sapiens	16561	2001-03-11	Ingman,M.,Kaessmann,H.,Paabo,S.,Gyllensten,U	Mitochondrial genome variation and the origin of modern humans	Nature 408 (6813), 708-713 (2000)		Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
17985795	AF382011	1	Homo sapiens	16568	2001-12-27	Maca-Meyer,N.,Gonzalez,A.M.,Larruga,J.M.,Flores,C.,Cabrera,V.M	Major genomic mitochondrial lineages delineate early human expansions	BMC Genet. 2 (1), 13 (2001)		Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
395764484	AF382008	3	Homo sapiens	16569	2001-12-27	Maca-Meyer,N.,Gonzalez,A.M.,Larruga,J.M.,Flores,C.,Cabrera,V.M	Major genomic mitochondrial lineages delineate early human expansions	BMC Genet. 2 (1), 13 (2001)		Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
13272836	AF346983	1	Homo sapiens	16569	2001-03-11	Ingman,M.,Kaessmann,H.,Paabo,S.,Gyllensten,U	Mitochondrial genome variation and the origin of modern humans	Nature 408 (6813), 708-713 (2000)		Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
17985543	AF381993	1	Homo sapiens	16569	2001-12-27	Maca-Meyer,N.,Gonzalez,A.M.,Larruga,J.M.,Flores,C.,Cabrera,V.M	Major genomic mitochondrial lineages delineate early human expansions	BMC Genet. 2 (1), 13 (2001)		Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
13272584	AF346965	1	Homo sapiens	16576	2001-03-11	Ingman,M.,Kaessmann,H.,Paabo,S.,Gyllensten,U	Mitochondrial genome variation and the origin of modern humans	Nature 408 (6813), 708-713 (2000)		Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
13273102	AF347002	1	Homo sapiens	16572	2001-03-11	Ingman,M.,Kaessmann,H.,Paabo,S.,Gyllensten,U	Mitochondrial genome variation and the origin of modern humans	Nature 408 (6813), 708-713 (2000)		Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
17985809	AF382012	1	Homo sapiens	16569	2001-12-27	Maca-Meyer,N.,Gonzalez,A.M.,Larruga,J.M.,Flores,C.,Cabrera,V.M	Major genomic mitochondrial lineages delineate early human expansions	BMC Genet. 2 (1), 13 (2001)		Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
13272850	AF346984	1	Homo sapiens	16570	2001-03-11	Ingman,M.,Kaessmann,H.,Paabo,S.,Gyllensten,U	Mitochondrial genome variation and the origin of modern humans	Nature 408 (6813), 708-713 (2000)		Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
13272598	AF346966	1	Homo sapiens	16569	2001-03-11	Ingman,M.,Kaessmann,H.,Paabo,S.,Gyllensten,U	Mitochondrial genome variation and the origin of modern humans	Nature 408 (6813), 708-713 (2000)		Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
